"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Lakeland College" "Private" 497 452 231 4054 57 47 43.8421743 -87.884225 "Lakeland College" "<b>Lakeland College</b><br><b>Private</b><br><b>Applications: </b>497<br><b>Applicatants accepted: </b>452<br><b>Enrollments: </b>231"
"Lamar University" "Public" 2336 1725 1043 5879 26 27 30.0406779 -94.0754771 "Lamar University" "<b>Lamar University</b><br><b>Public</b><br><b>Applications: </b>2336<br><b>Applicatants accepted: </b>1725<br><b>Enrollments: </b>1043"
"Lambuth University" "Private" 831 538 224 5531 60 35 35.6236663 -88.8302081 "Lambuth University" "<b>Lambuth University</b><br><b>Private</b><br><b>Applications: </b>831<br><b>Applicatants accepted: </b>538<br><b>Enrollments: </b>224"
"Lander University" "Public" 1166 1009 510 6119 51 33 34.201084 -82.166785 "Lander University" "<b>Lander University</b><br><b>Public</b><br><b>Applications: </b>1166<br><b>Applicatants accepted: </b>1009<br><b>Enrollments: </b>510"
"Lawrence University" "Private" 1243 947 324 13965 77 77 44.2613016 -88.3979247 "Lawrence University" "<b>Lawrence University</b><br><b>Private</b><br><b>Applications: </b>1243<br><b>Applicatants accepted: </b>947<br><b>Enrollments: </b>324"
"Le Moyne College" "Private" 1470 1199 425 8118 94 76 43.0497018 -76.0855042 "Le Moyne College" "<b>Le Moyne College</b><br><b>Private</b><br><b>Applications: </b>1470<br><b>Applicatants accepted: </b>1199<br><b>Enrollments: </b>425"
"Lebanon Valley College" "Private" 1386 1060 320 8196 85 56 40.331103 -76.514699 "Lebanon Valley College" "<b>Lebanon Valley College</b><br><b>Private</b><br><b>Applications: </b>1386<br><b>Applicatants accepted: </b>1060<br><b>Enrollments: </b>320"
"Lehigh University" "Private" 6397 4304 1092 14665 91 84 40.6069087 -75.3782832 "Lehigh University" "<b>Lehigh University</b><br><b>Private</b><br><b>Applications: </b>6397<br><b>Applicatants accepted: </b>4304<br><b>Enrollments: </b>1092"
"Lenoir-Rhyne College" "Private" 979 743 259 8539 66 46 35.739811 -81.3266096 "Lenoir-Rhyne College" "<b>Lenoir-Rhyne College</b><br><b>Private</b><br><b>Applications: </b>979<br><b>Applicatants accepted: </b>743<br><b>Enrollments: </b>259"
"Lesley College" "Private" 244 198 82 8694 58 33 42.3800462 -71.1171337 "Lesley College" "<b>Lesley College</b><br><b>Private</b><br><b>Applications: </b>244<br><b>Applicatants accepted: </b>198<br><b>Enrollments: </b>82"
"LeTourneau University" "Private" 477 417 204 6863 56 54 32.4669682 -94.7303026 "LeTourneau University" "<b>LeTourneau University</b><br><b>Private</b><br><b>Applications: </b>477<br><b>Applicatants accepted: </b>417<br><b>Enrollments: </b>204"
"Lewis and Clark College" "Private" 2774 2092 482 12999 69 64 45.4524083 -122.6774355 "Lewis and Clark College" "<b>Lewis and Clark College</b><br><b>Private</b><br><b>Applications: </b>2774<br><b>Applicatants accepted: </b>2092<br><b>Enrollments: </b>482"
"Lewis University" "Private" 1154 1050 395 7701 61 31 41.6025512 -88.0804503 "Lewis University" "<b>Lewis University</b><br><b>Private</b><br><b>Applications: </b>1154<br><b>Applicatants accepted: </b>1050<br><b>Enrollments: </b>395"
"Lincoln Memorial University" "Private" 787 562 363 5177 53 55 36.577238 -83.6601104 "Lincoln Memorial University" "<b>Lincoln Memorial University</b><br><b>Private</b><br><b>Applications: </b>787<br><b>Applicatants accepted: </b>562<br><b>Enrollments: </b>363"
"Lincoln University" "Public" 1660 1091 326 10912 45 41 38.5637835 -92.1670959 "Lincoln University" "<b>Lincoln University</b><br><b>Public</b><br><b>Applications: </b>1660<br><b>Applicatants accepted: </b>1091<br><b>Enrollments: </b>326"
"Lindenwood College" "Private" 810 484 356 3480 100 33 38.7865379 -90.5039452 "Lindenwood College" "<b>Lindenwood College</b><br><b>Private</b><br><b>Applications: </b>810<br><b>Applicatants accepted: </b>484<br><b>Enrollments: </b>356"
"Linfield College" "Private" 1561 1188 458 8747 81 72 45.200606 -123.199224 "Linfield College" "<b>Linfield College</b><br><b>Private</b><br><b>Applications: </b>1561<br><b>Applicatants accepted: </b>1188<br><b>Enrollments: </b>458"
"Livingstone College" "Private" 900 473 217 9268 92 47 35.6714409 -80.4846745 "Livingstone College" "<b>Livingstone College</b><br><b>Private</b><br><b>Applications: </b>900<br><b>Applicatants accepted: </b>473<br><b>Enrollments: </b>217"
"Lock Haven University of Pennsylvania" "Public" 3570 2215 651 6374 63 41 41.1417247 -77.4623298 "Lock Haven University of Pennsylvania" "<b>Lock Haven University of Pennsylvania</b><br><b>Public</b><br><b>Applications: </b>3570<br><b>Applicatants accepted: </b>2215<br><b>Enrollments: </b>651"
"Longwood College" "Public" 2747 1870 724 5553 62 47 37.301205 -78.396173 "Longwood College" "<b>Longwood College</b><br><b>Public</b><br><b>Applications: </b>2747<br><b>Applicatants accepted: </b>1870<br><b>Enrollments: </b>724"
"Loras College" "Private" 1641 1283 527 7578 70 39 42.502738 -90.681399 "Loras College" "<b>Loras College</b><br><b>Private</b><br><b>Applications: </b>1641<br><b>Applicatants accepted: </b>1283<br><b>Enrollments: </b>527"
"Louisiana College" "Private" 2013 1053 212 7547 59 61 31.32528 -92.42666 "Louisiana College" "<b>Louisiana College</b><br><b>Private</b><br><b>Applications: </b>2013<br><b>Applicatants accepted: </b>1053<br><b>Enrollments: </b>212"
"Louisiana State University at Baton Rouge" "Public" 5996 4993 3079 6741 37 57 30.4132579 -91.1800023 "Louisiana State University at Baton Rouge" "<b>Louisiana State University at Baton Rouge</b><br><b>Public</b><br><b>Applications: </b>5996<br><b>Applicatants accepted: </b>4993<br><b>Enrollments: </b>3079"
"Louisiana Tech University" "Public" 2397 2144 1525 4546 45 45 32.5282532 -92.6498668 "Louisiana Tech University" "<b>Louisiana Tech University</b><br><b>Public</b><br><b>Applications: </b>2397<br><b>Applicatants accepted: </b>2144<br><b>Enrollments: </b>1525"
"Loyola College" "Private" 4076 3137 738 9448 80 54 39.3462543 -76.6174433 "Loyola College" "<b>Loyola College</b><br><b>Private</b><br><b>Applications: </b>4076<br><b>Applicatants accepted: </b>3137<br><b>Enrollments: </b>738"
"Loyola Marymount University" "Private" 3768 2662 753 11677 84 64 33.9704172 -118.4174046 "Loyola Marymount University" "<b>Loyola Marymount University</b><br><b>Private</b><br><b>Applications: </b>3768<br><b>Applicatants accepted: </b>2662<br><b>Enrollments: </b>753"
"Loyola University" "Private" 1891 1698 719 9456 53 80 41.9998037 -87.6582194 "Loyola University" "<b>Loyola University</b><br><b>Private</b><br><b>Applications: </b>1891<br><b>Applicatants accepted: </b>1698<br><b>Enrollments: </b>719"
"Loyola University Chicago" "Private" 3579 2959 868 13009 65 55 41.9998037 -87.6582194 "Loyola University Chicago" "<b>Loyola University Chicago</b><br><b>Private</b><br><b>Applications: </b>3579<br><b>Applicatants accepted: </b>2959<br><b>Enrollments: </b>868"
"Luther College" "Private" 1549 1392 587 8949 77 72 43.311063 -91.8062533 "Luther College" "<b>Luther College</b><br><b>Private</b><br><b>Applications: </b>1549<br><b>Applicatants accepted: </b>1392<br><b>Enrollments: </b>587"
"Lycoming College" "Private" 1286 1005 363 8024 72 37 41.2452371 -77.0001601 "Lycoming College" "<b>Lycoming College</b><br><b>Private</b><br><b>Applications: </b>1286<br><b>Applicatants accepted: </b>1005<br><b>Enrollments: </b>363"
"Lynchburg College" "Private" 1756 1500 366 8832 70 21 37.3980988 -79.1816587 "Lynchburg College" "<b>Lynchburg College</b><br><b>Private</b><br><b>Applications: </b>1756<br><b>Applicatants accepted: </b>1500<br><b>Enrollments: </b>366"
"Lyndon State College" "Public" 535 502 223 7114 51 20 44.535537 -72.025166 "Lyndon State College" "<b>Lyndon State College</b><br><b>Public</b><br><b>Applications: </b>535<br><b>Applicatants accepted: </b>502<br><b>Enrollments: </b>223"
"Macalester College" "Private" 2939 1496 452 14213 77 86 44.93914 -93.1685031 "Macalester College" "<b>Macalester College</b><br><b>Private</b><br><b>Applications: </b>2939<br><b>Applicatants accepted: </b>1496<br><b>Enrollments: </b>452"
"MacMurray College" "Private" 740 558 177 10642 59 29 39.73207 -90.2230761 "MacMurray College" "<b>MacMurray College</b><br><b>Private</b><br><b>Applications: </b>740<br><b>Applicatants accepted: </b>558<br><b>Enrollments: </b>177"
"Malone College" "Private" 874 758 428 4796 55 46 40.8272374 -81.3806233 "Malone College" "<b>Malone College</b><br><b>Private</b><br><b>Applications: </b>874<br><b>Applicatants accepted: </b>758<br><b>Enrollments: </b>428"
"Manchester College" "Private" 1004 802 239 7940 64 63 41.0115283 -85.7600945 "Manchester College" "<b>Manchester College</b><br><b>Private</b><br><b>Applications: </b>1004<br><b>Applicatants accepted: </b>802<br><b>Enrollments: </b>239"
"Manhattan College" "Private" 2432 1730 563 10062 79 63 40.889897 -73.901076 "Manhattan College" "<b>Manhattan College</b><br><b>Private</b><br><b>Applications: </b>2432<br><b>Applicatants accepted: </b>1730<br><b>Enrollments: </b>563"
"Manhattanville College" "Private" 962 750 212 11291 70 54 41.0322069 -73.7147813 "Manhattanville College" "<b>Manhattanville College</b><br><b>Private</b><br><b>Applications: </b>962<br><b>Applicatants accepted: </b>750<br><b>Enrollments: </b>212"
"Mankato State University" "Public" 3073 2672 1547 5801 68 29 44.146362 -93.999613 "Mankato State University" "<b>Mankato State University</b><br><b>Public</b><br><b>Applications: </b>3073<br><b>Applicatants accepted: </b>2672<br><b>Enrollments: </b>1547"
"Marian College of Fond du Lac" "Private" 824 670 337 5352 59 41 43.777902 -88.421463 "Marian College of Fond du Lac" "<b>Marian College of Fond du Lac</b><br><b>Private</b><br><b>Applications: </b>824<br><b>Applicatants accepted: </b>670<br><b>Enrollments: </b>337"
"Marietta College" "Private" 1611 960 342 10223 96 60 39.4145456 -81.4491067 "Marietta College" "<b>Marietta College</b><br><b>Private</b><br><b>Applications: </b>1611<br><b>Applicatants accepted: </b>960<br><b>Enrollments: </b>342"
"Marist College" "Private" 4731 3171 830 8408 69 31 41.7214019 -73.9354938 "Marist College" "<b>Marist College</b><br><b>Private</b><br><b>Applications: </b>4731<br><b>Applicatants accepted: </b>3171<br><b>Enrollments: </b>830"
"Marquette University" "Private" 5152 4600 1685 9982 77 71 43.0384823 -87.9296357 "Marquette University" "<b>Marquette University</b><br><b>Private</b><br><b>Applications: </b>5152<br><b>Applicatants accepted: </b>4600<br><b>Enrollments: </b>1685"
"Marshall University" "Private" 4226 3666 2007 6203 50 60 38.4192496 -82.445154 "Marshall University" "<b>Marshall University</b><br><b>Private</b><br><b>Applications: </b>4226<br><b>Applicatants accepted: </b>3666<br><b>Enrollments: </b>2007"
"Mary Baldwin College" "Private" 499 441 199 10819 90 52 38.15387 -79.0692558 "Mary Baldwin College" "<b>Mary Baldwin College</b><br><b>Private</b><br><b>Applications: </b>499<br><b>Applicatants accepted: </b>441<br><b>Enrollments: </b>199"
"Mary Washington College" "Public" 4350 2178 756 5358 84 78 38.2996461 -77.4714285 "Mary Washington College" "<b>Mary Washington College</b><br><b>Public</b><br><b>Applications: </b>4350<br><b>Applicatants accepted: </b>2178<br><b>Enrollments: </b>756"
"Marymount College Tarrytown" "Private" 478 327 117 10502 77 34 41.0753728 -73.8495986 "Marymount College Tarrytown" "<b>Marymount College Tarrytown</b><br><b>Private</b><br><b>Applications: </b>478<br><b>Applicatants accepted: </b>327<br><b>Enrollments: </b>117"
"Marymount Manhattan College" "Private" 695 535 239 10622 68 30 40.7687397 -73.9597802 "Marymount Manhattan College" "<b>Marymount Manhattan College</b><br><b>Private</b><br><b>Applications: </b>695<br><b>Applicatants accepted: </b>535<br><b>Enrollments: </b>239"
"Marymount University" "Private" 941 772 214 8575 55 30 38.905384 -77.12852 "Marymount University" "<b>Marymount University</b><br><b>Private</b><br><b>Applications: </b>941<br><b>Applicatants accepted: </b>772<br><b>Enrollments: </b>214"
"Maryville College" "Private" 1464 888 176 8317 51 52 35.7539743 -83.9650834 "Maryville College" "<b>Maryville College</b><br><b>Private</b><br><b>Applications: </b>1464<br><b>Applicatants accepted: </b>888<br><b>Enrollments: </b>176"
"Maryville University" "Private" 549 397 169 5925 61 51 38.644986 -90.504679 "Maryville University" "<b>Maryville University</b><br><b>Private</b><br><b>Applications: </b>549<br><b>Applicatants accepted: </b>397<br><b>Enrollments: </b>169"
"Marywood College" "Private" 1107 859 323 9034 66 51 41.4336071 -75.6342257 "Marywood College" "<b>Marywood College</b><br><b>Private</b><br><b>Applications: </b>1107<br><b>Applicatants accepted: </b>859<br><b>Enrollments: </b>323"
"Massachusetts Institute of Technology" "Private" 6411 2140 1078 33541 94 99 42.360091 -71.09416 "Massachusetts Institute of Technology" "<b>Massachusetts Institute of Technology</b><br><b>Private</b><br><b>Applications: </b>6411<br><b>Applicatants accepted: </b>2140<br><b>Enrollments: </b>1078"
"Mayville State University" "Public" 233 233 153 6971 51 12 47.5039109 -97.3238653 "Mayville State University" "<b>Mayville State University</b><br><b>Public</b><br><b>Applications: </b>233<br><b>Applicatants accepted: </b>233<br><b>Enrollments: </b>153"
"McKendree College" "Private" 1002 555 119 6652 52 43 38.6088277 -89.8154883 "McKendree College" "<b>McKendree College</b><br><b>Private</b><br><b>Applications: </b>1002<br><b>Applicatants accepted: </b>555<br><b>Enrollments: </b>119"
"McMurry University" "Private" 578 411 187 6383 32 50 32.4291005 -99.7506277 "McMurry University" "<b>McMurry University</b><br><b>Private</b><br><b>Applications: </b>578<br><b>Applicatants accepted: </b>411<br><b>Enrollments: </b>187"
"McPherson College" "Private" 420 293 93 9754 48 32 38.3707912 -97.6434822 "McPherson College" "<b>McPherson College</b><br><b>Private</b><br><b>Applications: </b>420<br><b>Applicatants accepted: </b>293<br><b>Enrollments: </b>93"
"Mercer University" "Private" 2286 1668 564 8995 91 70 32.827872 -83.652617 "Mercer University" "<b>Mercer University</b><br><b>Private</b><br><b>Applications: </b>2286<br><b>Applicatants accepted: </b>1668<br><b>Enrollments: </b>564"
"Mercyhurst College" "Private" 1557 1074 397 7307 78 40 42.1050905 -80.0531814 "Mercyhurst College" "<b>Mercyhurst College</b><br><b>Private</b><br><b>Applications: </b>1557<br><b>Applicatants accepted: </b>1074<br><b>Enrollments: </b>397"
"Meredith College" "Private" 857 772 376 6881 82 58 35.7989768 -78.6884823 "Meredith College" "<b>Meredith College</b><br><b>Private</b><br><b>Applications: </b>857<br><b>Applicatants accepted: </b>772<br><b>Enrollments: </b>376"
"Merrimack College" "Private" 1981 1541 514 8707 80 36 42.6677049 -71.1225705 "Merrimack College" "<b>Merrimack College</b><br><b>Private</b><br><b>Applications: </b>1981<br><b>Applicatants accepted: </b>1541<br><b>Enrollments: </b>514"
"Mesa State College" "Public" 1584 1456 891 3871 59 18 39.0787545 -108.553526 "Mesa State College" "<b>Mesa State College</b><br><b>Public</b><br><b>Applications: </b>1584<br><b>Applicatants accepted: </b>1456<br><b>Enrollments: </b>891"
"Messiah College" "Private" 1742 1382 607 7762 89 64 40.1579568 -76.9881939 "Messiah College" "<b>Messiah College</b><br><b>Private</b><br><b>Applications: </b>1742<br><b>Applicatants accepted: </b>1382<br><b>Enrollments: </b>607"
"Miami University at Oxford" "Public" 9239 7788 3290 7846 85 39 39.5105334 -84.7308768 "Miami University at Oxford" "<b>Miami University at Oxford</b><br><b>Public</b><br><b>Applications: </b>9239<br><b>Applicatants accepted: </b>7788<br><b>Enrollments: </b>3290"
"Michigan State University" "Public" 18114 15096 6180 10520 71 57 42.701848 -84.4821719 "Michigan State University" "<b>Michigan State University</b><br><b>Public</b><br><b>Applications: </b>18114<br><b>Applicatants accepted: </b>15096<br><b>Enrollments: </b>6180"
"Michigan Technological University" "Public" 2618 2288 1032 7473 65 77 47.1170514 -88.5445315 "Michigan Technological University" "<b>Michigan Technological University</b><br><b>Public</b><br><b>Applications: </b>2618<br><b>Applicatants accepted: </b>2288<br><b>Enrollments: </b>1032"
"MidAmerica Nazarene College" "Private" 331 331 225 5524 49 36 38.8744755 -94.7804258 "MidAmerica Nazarene College" "<b>MidAmerica Nazarene College</b><br><b>Private</b><br><b>Applications: </b>331<br><b>Applicatants accepted: </b>331<br><b>Enrollments: </b>225"
"Millersville University of Penn." "Public" 6011 3075 960 7832 71 60 39.9966065 -76.3540148 "Millersville University of Penn." "<b>Millersville University of Penn.</b><br><b>Public</b><br><b>Applications: </b>6011<br><b>Applicatants accepted: </b>3075<br><b>Enrollments: </b>960"
"Milligan College" "Private" 610 461 189 8128 64 52 36.3011698 -82.2904086 "Milligan College" "<b>Milligan College</b><br><b>Private</b><br><b>Applications: </b>610<br><b>Applicatants accepted: </b>461<br><b>Enrollments: </b>189"
